sample,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1
Training set,-3.1858618346367724e-4,4.479442675753059,3.0214242663667727,91.48621271750137,135.31430066578525,0.658778386021935,0.0023078431431557307
Test set,-0.3347493570785831,2.551357403639245,1.8170300859813846,102.841410839839,132.92208107866145,0.39617744542560285,NA
