date,actual,forecast,lower_80,upper_80,lower_95,upper_95
2025-05-19,3.544547050346658,0.24585993049622001,-5.501659278144999,5.9933791391374385,-8.544212160439784,9.035932021432224
2025-05-20,2.6008150317942125,0.10250408944389158,-5.65048578426835,5.855493963156134,-8.69593466171786,8.900942840605644
2025-05-21,1.8273212702963448,0.18605348596225668,-5.57144859814355,5.943555570068063,-8.619286095489766,8.991393067414279
2025-05-22,-4.011381988741469,0.29825089526105975,-5.463035645154155,6.0595374356762735,-8.512876512656106,9.109378303178225
2025-05-23,0.431752423473597,0.25742649422067665,-5.50524221412076,6.020095202562113,-8.555814757125669,9.070667745567023
2025-05-27,0.02344938843368282,0.1733659893630658,-5.591638683027315,5.938370661753447,-8.643447810703288,8.99017978942942
2025-05-28,-2.1057906488691103,0.1888496769611082,-5.576493661885959,5.954193015808174,-8.62848206875466,9.006181422676878
2025-05-29,-1.4688022757892938,0.24952350692475828,-5.517139653631092,6.016186667480608,-8.569826731908867,9.068873745758383
2025-05-30,0.5871327524205938,0.24804697381151283,-5.518668274007562,6.014762221630588,-8.57138292561691,9.067476873239936
2025-06-02,0.763425017589725,0.20573430140352264,-5.561672633650341,5.973141236457385,-8.614753442363902,9.026222045170947
2025-06-03,-0.6607407821432432,0.20029804035412388,-5.567109875782397,5.9677059564906445,-8.620191203849746,9.020787284557994
2025-06-04,-3.0858640549940475,0.22881877083721608,-5.538927474669887,5.996565016344318,-8.59218790348736,9.049825445161794
2025-06-05,2.7460237354805628,0.2369443735549049,-5.530806372037465,6.004695119147274,-8.584069183056181,9.057957930165992
2025-06-06,1.162804630037506,0.21840123165338532,-5.5495041404816,5.986306603788371,-8.602848805847533,9.039651269154302
2025-06-09,4.336763345103023,0.20993355099704475,-5.557983178539474,5.977850280533564,-8.611333856150603,9.031200958144693
2025-06-10,-1.4896132451266195,0.22150337268500672,-5.546479144944928,5.989485890314941,-8.599864648669024,9.042871394039038
2025-06-11,-2.750594810743401,0.22914362424581422,-5.538851681859625,5.997138930351253,-8.59224395539372,9.050531203885349
2025-06-12,0.37542573294633286,0.22228460577680706,-5.545736509314563,5.990305720868176,-8.599142445300524,9.043711656854137
2025-06-13,-0.6175152236682635,0.21593757710961745,-5.5520941413054175,5.983969295524652,-8.605505690351867,9.037380844571102
2025-06-16,-0.8330975014649411,0.2197263374819858,-5.5483145424380815,5.9877672174020535,-8.601730941292342,9.041183616256312
2025-06-17,0.31040657451448794,0.22470752442982658,-5.5433407587850745,5.992755807644727,-8.596761076706885,9.046176125566538
2025-06-18,-0.23255214154325188,0.22283994792085662,-5.545211171617547,5.990891067459261,-8.598632990998324,9.044312886840038
2025-06-20,-2.4290190608935447,0.21909953020079306,-5.548956188342436,5.987155248744023,-8.602380442289308,9.040579502690894
2025-06-23,3.822789349286637,0.21982389725004906,-5.54823252822011,5.987880322720208,-8.601657156391493,9.04130495089159
2025-06-24,1.1793831615682038,0.22252908841380442,-5.54552994837186,5.990588125199468,-8.59895595889017,9.044014135717777
2025-06-25,-0.3456425042102751,0.22243966140352447,-5.5456194886102494,5.990498811417298,-8.599045559067898,9.043924881874949
2025-06-26,0.07820941748981625,0.2205495145888327,-5.547511009729513,5.988610038907179,-8.600937807700058,9.042036836877722
2025-06-27,0.22271182043596127,0.2203229512172517,-5.547737576062703,5.988383478497207,-8.601164375601028,9.041810278035532
2025-06-30,-1.5398683667667612,0.22159948465879237,-5.546461717476988,5.989660686794573,-8.599888874262408,9.043087843579993
2025-07-01,2.960643566566823,0.22195154997179495,-5.546109659851745,5.990012759795335,-8.59953682070682,9.04343992065041
2025-07-02,0.6777617543303194,0.2211198199783196,-5.546941699486942,5.989181339443581,-8.600369024256441,9.04260866421308
2025-07-03,-1.4704380486476154,0.2207486130110727,-5.547312927706635,5.98881015372878,-8.6007402637265,9.042237489748647
2025-07-07,0.8566847105061726,0.22126887640165877,-5.546792796618227,5.989330549421545,-8.600220202674636,9.042757955477954
2025-07-08,2.111230437155953,0.22160580519568832,-5.546455892366616,5.989667502757992,-8.599883311414997,9.043094921806373
2025-07-09,4.1784823937254245,0.2212963611221805,-5.5467653886017825,5.989358110846144,-8.600192835262877,9.042785557507237
2025-07-10,1.327734098088662,0.22101539863806632,-5.547046371689892,5.989077168966024,-8.600473829258082,9.042504626534214
2025-07-11,-0.0931782743975873,0.2211871501927417,-5.546874638769895,5.989248939155377,-8.600302106202687,9.042676406588171
2025-07-14,0.2626861152496218,0.22140826740518832,-5.546653536056468,5.989470070866844,-8.600081011164578,9.042897545974954
2025-07-15,0.7612549350207942,0.2213228907127704,-5.54673891857153,5.98938469999707,-8.600166396761962,9.042812178187502
2025-07-16,0.4975817284158523,0.22115647406911662,-5.546905344273673,5.989218292411907,-8.600332827259379,9.042645775397613
2025-07-17,-1.0540823946890043,0.22119028757609416,-5.546871532241178,5.989252107393367,-8.600299016007428,9.042679591159617
2025-07-18,-0.09229574522322535,0.2213108875387517,-5.546750937445703,5.989372712523206,-8.600178423947295,9.042800199024796
2025-07-21,1.7754898295281762,0.22130584605283377,-5.546755979176874,5.989367671282542,-8.600183465808295,9.042795157913963
2025-07-22,-1.0182603360281206,0.221221420489639,-5.5468404074705315,5.98928324844981,-8.600267895547372,9.04271073652665
2025-07-23,-0.34855597179088704,0.2212120271318275,-5.546849800836665,5.989273855100321,-8.600277288917912,9.042701343181566
2025-07-24,-0.6471818520575212,0.2212691558566292,-5.546792673457803,5.989330985171062,-8.600220162251548,9.042758473964804
2025-07-25,0.2855314841401224,0.22128439434341013,-5.546777434983985,5.989346223670806,-8.60020492378459,9.04277371247141
2025-07-28,-0.0307244903309467,0.22124709290167688,-5.546814737045666,5.989308922849019,-8.600242226174451,9.042736411977806
2025-07-29,-0.08757928100227019,0.2212308271752353,-5.546831002811786,5.989292657162257,-8.600258491961577,9.042720146312048
2025-07-30,-1.7715336893633804,0.2212542183085354,-5.546807611944487,5.989316048561559,-8.600235101235091,9.042743537852163
2025-07-31,-2.1942293679030556,0.2212690727088511,-5.546792757591229,5.989330903008931,-8.60022024690674,9.042758392324444
2025-08-01,-0.6253489564596038,0.2212551151633152,-5.546806715242154,5.989316945568785,-8.600234204613459,9.042744434940088
2025-08-04,1.3855686752622276,0.2212426801088104,-5.546819150336676,5.989304510554296,-8.600246639729162,9.042731999946783
2025-08-05,0.7994045236264569,0.2212504633136093,-5.546811367169764,5.989312293796982,-8.600238856582308,9.042739783209527
2025-08-06,2.138736208614489,0.22126027743137652,-5.546801553080381,5.989322107943134,-8.60022904250795,9.042749597370703
2025-08-07,-0.7102528208616121,0.22125637696643638,-5.546805453557267,5.98931820749014,-8.600232942991159,9.042745696924033
2025-08-08,-0.1640647380595439,0.22124897373035457,-5.546812856811186,5.989310804271894,-8.600240346254521,9.04273829371523
2025-08-11,3.0607485853050065,0.22125054898352023,-5.546811281561092,5.9893123795281324,-8.600238771006055,9.042739868973094
2025-08-12,2.6718082607903426,0.22125592485546328,-5.5468059056993715,5.9893177554102985,-8.600233395149745,9.04274524486067
2025-08-13,-4.117006193089701,0.22125565297057556,-5.546806177584789,5.98931748352594,-8.600233667035441,9.04274497297659
2025-08-14,-0.8080806650923478,0.22125188241119714,-5.5468099481495905,5.989313712971985,-8.600237437603115,9.042741202425509
2025-08-15,0.01593919676636801,0.22125149530284963,-5.54681033525796,5.98931332586366,-8.600237824711495,9.042740815317195
2025-08-18,-3.9946717608113858,0.22125405169740564,-5.546807778866088,5.989315882260899,-8.600235268321043,9.042743371715854
2025-08-19,1.2502221667773483,0.22125471054155496,-5.546807120021961,5.98931654110507,-8.600234609476928,9.042744030560037
2025-08-20,-1.58384798002853,0.22125303785875092,-5.546808792706006,5.989314868423508,-8.60023628216163,9.042742357879133
2025-08-21,3.861502201889877,0.22125232545021933,-5.54680950511461,5.989314156015049,-8.600236994570274,9.042741645470713
2025-08-22,-1.3128547610623542,0.2212533769558855,-5.546808453609479,5.9893152075212495,-8.600235943065426,9.042742696977198
2025-08-25,-3.1660259718565342,0.22125403167611965,-5.546807798889335,5.9893158622415745,-8.60023528834533,9.042743351697569
2025-08-26,-0.4795535326666211,0.22125340225034704,-5.546808428315322,5.989315232816016,-8.600235917771428,9.0427427222721235
2025-08-27,1.1809559179043916,0.22125285199133576,-5.546808978574409,5.98931468255708,-8.600236468030557,9.042742172013229
2025-08-28,-3.799026473883238,0.22125320458522055,-5.546808625980602,5.989315035151043,-8.600236115436791,9.042742524607233
2025-08-29,0.4139942033525301,0.22125364011541357,-5.546808190450464,5.989315470681292,-8.600235679906683,9.042742960137511
2025-09-02,2.65535809912123,0.22125346203245788,-5.546808368533446,5.989315292598361,-8.600235857989677,9.042742782054592
2025-09-03,-0.930996506810544,0.2212531327305424,-5.546808697835395,5.989314963296479,-8.600236187291644,9.042742452752728
2025-09-04,-0.04586459653861396,0.2212532059809979,-5.546808624584947,5.989315036546942,-8.600236114041198,9.042742526003195
2025-09-05,-0.4141753243294133,0.22125344558994994,-5.546808384976013,5.989315276155913,-8.600235874432277,9.042742765612177
2025-09-08,1.2055597188018297,0.22125343136328468,-5.546808399202681,5.98931526192925,-8.600235888658945,9.042742751385516
2025-09-09,2.1590999533477984,0.2212532629830819,-5.546808567582895,5.989315093549058,-8.600236057039165,9.042742583005328
2025-09-10,1.355896588079197,0.2212532471425983,-5.546808583423378,5.989315077708575,-8.600236072879648,9.042742567164845
