variable,n,mean,sd,min,p25,median,p75,max,skewness,excesskurtosis
btc_return,2341,0.18492896106864776,4.328833256342123,-46.862466686579474,-1.6556714855369137,0.17054912619816065,2.0870291479504033,24.060602804974085,-0.5442056008854911,9.410099428003015
sp500_return,2341,0.05097117452511391,1.1688506018804838,-12.76521411564726,-0.3769071849442085,0.08243274123156397,0.6033611862784838,9.089490164871528,-0.684629202110285,16.25044220173132
vix_change,2341,0.0016702263989747993,2.017893351164274,-18.71,-0.7600000000000016,-0.10999999999999945,0.5700000000000003,24.86,2.1401416768704746,31.90467588468678
dgs10_change,2341,9.055958991883811e-4,0.05402943221611354,-0.30000000000000027,-0.03000000000000002,0,0.03000000000000025,0.29000000000000004,-0.07258905977638791,2.0322659718611638
dollar_index_return,2313,5.52462372722615e-4,0.31041655042765015,-1.9099173567123096,-0.17397845575786164,-0.00806699110436071,0.17761136415286316,1.8747397088045403,0.01108919163248617,2.355441797886362
